,district,counts
0,ABIM,0
1,ADJUMANI,0
2,AGAGO,0
3,ALEBTONG,0
4,AMOLATAR,0
5,AMUDAT,0
6,AMURIA,0
7,AMURU,0
8,APAC,0
9,ARUA,144162
10,BUDAKA,0
11,BUDUDA,0
12,BUGIRI,0
13,BUHWEJU,0
14,BUIKWE,0
15,BUKEDEA,0
16,BUKOMANSIMBI,0
17,BUKWO,0
18,BULAMBULI,0
19,BULIISA,0
20,BUNDIBUGYO,0
21,BUSHENYI,0
22,BUSIA,0
23,BUTALEJA,0
24,BUTAMBALA,0
25,BUVUMA,0
26,BUYENDE,0
27,DOKOLO,0
28,GOMBA,0
29,GULU,0
30,HOIMA,0
31,IBANDA,0
32,IGANGA,0
33,ISINGIRO,0
34,JINJA,0
35,KAABONG,0
36,KABALE,0
37,KABAROLE,0
38,KABERAMAIDO,0
39,KAGADI,0
40,KAKUMIRO,0
41,KALANGALA,0
42,KALIRO,0
43,KALUNGU,0
44,KAMPALA,657
45,KAMULI,0
46,KAMWENGE,0
47,KANUNGU,0
48,KAPCHORWA,0
49,KASESE,0
50,KATAKWI,0
51,KAYUNGA,0
52,KIBAALE,0
53,KIBOGA,0
54,KIBUKU,0
55,KIRUHURA,0
56,KIRYANDONGO,846
57,KISORO,0
58,KITGUM,0
59,KOBOKO,0
60,KOLE,0
61,KOTIDO,0
62,KUMI,0
63,KWEEN,0
64,KYANKWANZI,0
65,KYEGEGWA,0
66,KYENJOJO,0
67,LAMWO,0
68,LIRA,0
69,LUUKA,0
70,LUWERO,557
71,LWENGO,0
72,LYANTONDE,0
73,MANAFWA,0
74,MARACHA,0
75,MASAKA,0
76,MASINDI,82
77,MAYUGE,0
78,MBALE,0
79,MBARARA,0
80,MITOOMA,0
81,MITYANA,0
82,MOROTO,0
83,MOYO,0
84,MPIGI,0
85,MUBENDE,0
86,MUKONO,0
87,NAKAPIRIPIRIT,0
88,NAKASEKE,0
89,NAKASONGOLA,1067
90,NAMAYINGO,0
91,NAMUTUMBA,0
92,NAPAK,0
93,NEBBI,699
94,NGORA,0
95,NTOROKO,0
96,NTUNGAMO,0
97,NWOYA,548
98,OMORO,0
99,OTUKE,0
100,OYAM,0
101,PADER,0
102,PALLISA,0
103,RAKAI,0
104,RUBANDA,0
105,RUBIRIZI,0
106,RUKUNGIRI,0
107,SERERE,0
108,SHEEMA,0
109,SIRONKO,0
110,SOROTI,0
111,SSEMBABULE,0
112,TORORO,0
113,WAKISO,327
114,YUMBE,0
115,ZOMBO,0
